"date","survey_type","observers","daily_sheet","run","bay","direction_travel","dist_travel_m","run_time_sec","vessel_speed_mps","current_speed_mps","time_block","set_start","set_end","NEW_set_start","NEW_set_end","run_time","shift_seg","trap_type","depth_ft","mod_stat","sockeye_smolt_total","sockeye_smolt_release","sockeye_fry_total","sockeye_fry_release","comments_tally","USID","env_index","RPM","time","wx_description","cc_perc","brightness","precipitation","surface_chop","water_temp_C","air_temp_C","water_clarity_in","debris","flow_in","flow_out","flow_ms","flow_diff","comments_env","discharge_m3s","run_time_min","vt_net_type","species_ID_field","life_stage_field","ID","DNA_vial","fork_mm","size_class_mm","weight_g","AFC","histo_sample","histo_jar","spag_tag","comments_bio","Verified","fish_ID_DNA","GSI_submitted","reason_not_submitted","GSI_processed","reason_not_processed","GSI_received","reason_not_received","species_ID_DNA","ID_error","ID_current_20180327","tally_df_adj","fish_ID_DNA2","CU1_number","CU1_name","CU1_prob","CU2_number","CU2_name","CU2_prob","CU3_number","CU3_name","CU3_prob","CU4_number","CU4_name","CU4_prob","CU5_number","CU5_name","CU5_prob","fish_ID_test1","fish_ID_test2","CU_assgn1_60","CU_diff_assgn1_2","CU_diff_assgn1_2_20","CU_rule","CU_assigned","CU_chilko_combo_prob","CU_chilko_combo_method","CU_chilko_gr_th_60","CU_final","UFID"
2017-04-03,"8 Hrs","RG/GB/SK/CK/KL",1,"R7","B2","US",720,1102,0.653,0.347,"15:00-15:59",1502,1517,"15:02","15:17","0:15",1,"Vertical",0,"Modified",0,0,0,0,"Redid Vertical trap at 12' due to previous issues with trap","20170403-R7-B2-Vertical-0","20170403-R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R1","B6","Insuff. GPS Data",NA,0,NA,NA,"06:00-06:59",615,630,"6:15","6:30","0:15",1,"RST",0,"n/a",0,0,0,0,"Outflow wind / light chop","20170404-R1-B6-RST-0","20170404-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R2","B11","US",276,584,0.473,0.527,"06:00-06:59",635,650,"6:35","6:50","0:15",1,"RST",0,"n/a",0,0,0,0,"","20170404-R2-B11-RST-0","20170404-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R3","B2","Insuff. GPS Data",NA,0,NA,NA,"07:00-07:59",700,715,"7:00","7:15","0:15",1,"RST",0,"n/a",0,0,0,0,"CN sampled and released","20170404-R3-B2-RST-0","20170404-R3","1200",703,"Overcast","0%","Dark","None","M","5","NR","10","N","303706","306128","1.085","-1.08","Windy in am",1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R4","B6","Insuff. GPS Data",NA,0,NA,NA,"07:00-07:59",715,730,"7:15","7:30","0:15",1,"RST",0,"n/a",0,0,0,0,"","20170404-R4-B6-RST-0","20170404-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R5","B11","Insuff. GPS Data",NA,0,NA,NA,"07:00-07:59",740,755,"7:40","7:55","0:15",1,"RST",0,"n/a",0,0,0,0,"","20170404-R5-B11-RST-0","20170404-R5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R6","B2","Insuff. GPS Data",NA,0,NA,NA,"07:00-07:59",759,814,"7:59","8:14","0:15",1,"RST",0,"n/a",0,0,0,0,"Moderate outflow / choppy","20170404-R6-B2-RST-0","20170404-R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R7","B6","Insuff. GPS Data",NA,0,NA,NA,"08:00-08:59",818,833,"8:18","8:33","0:15",1,"RST",0,"n/a",0,0,0,0,"","20170404-R7-B6-RST-0","20170404-R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R8","B11","Insuff. GPS Data",NA,0,NA,NA,"08:00-08:59",837,852,"8:37","8:52","0:15",1,"RST",0,"n/a",0,0,0,0,"","20170404-R8-B11-RST-0","20170404-R8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-04,"8 Hrs","CK/RG/SK/KL",1,"R9","B2","Insuff. GPS Data",NA,0,NA,NA,"09:00-09:59",902,917,"9:02","9:17","0:15",1,"RST",0,"n/a",0,0,0,0,"","20170404-R9-B2-RST-0","20170404-R9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
